cod_tipveh;tipo_vehiculo
606;CAMION C.DORM.FURGON# BOX TERM
607;CAMION CAB.DORM. C/VOLCADORA
608;CAMION CAB.TRIPLE CHASIS
609;CAMION CAB.TRIPLE C/CAJA
610;CAMIONETA CAB.SIMP.C/BOX TERM.
611;CAMIONETA CAB.SIMP.C/CAJA
612;CAMIONETA CAB.SIMP. C/FURGON
613;CAMIONETA CAB.DOB. C/BOX TERM.
614; .CARRO GOLF
615;CAMION CAB.DORM.TRACTOR#TRACTO
616;CAMIONETA CAB.DOBL.C/BOX
617;CAMION CAB.DORM.C/HORMIGONERA
618;CAMIONETA CAB. Y MEDIA C/ BOX
619;CAMION C.DORM.FURGON#BOX TERM
620;CAMION CAB.SIMP.C/GRUA/GRAPO
621;CAMION CAB.DORM.C/GRUA/GRAPO
622;CAMION CAB.SIMP.JAULA GANADO
623;CAMION CAB.Y MEDIA CHASIS
624;SEMIRREMOLQUE CON VOLCADORA
625;CAMION C.DOB. C/TOLVA P/BACHEO
626;CAMION CAB.DORM.CISTERNA
627;CAMION CAB.DORM.CHATA FORESTAL
628;CAMION CAB. Y MEDIA C/CAJA
629;.FURGON INTEGRADO
630;CAMION C.DORM.C/REGADOR D/AGUA
631;CAMION C.DORM.RECOLECT.BAS
632;CAMION C.MED.FURGON# BOX TERM
634;CAMION C.SIMP.PLATAF.P/VEH.C/T
635;CAMION CAB.DORM.PORTA VOLQUETA
636;CAMION C.SIMP.TOLVA GRANELERA
637;CAMION CAB.Y MEDIA C/CISTERNA
638;CAMION C.DORM.PLATAF.P/VEH.C/T
639;CAMION C.DORM.PLATAF.P/VEH.S/T
640;TRENCITO ELÉCTRICO
641;CAMION C.DOB.C/ GRUA/GRAPO
642;CAMION CAB.Y MEDIA FURGON# BOX
643;CAMION CAB.SIMP.C/GRUA
644;CAMION CAB Y MED c/BARREDORA
645;CAMION CAB SIMPLE C/PLATAFORMA
646;MICRO
647;CAMION C SIM C/FURG POLLITO BB
648;CAMION CABINA DORMITORIO SIDER
649;CAMION CAB. DORM. BAROMETRICA
650;CAMION C Y MEDIA PLA P/VEH.S/T
651;CAMION CAB Y MED C/PLATAFORMA
652;REMOLQUE CON VOLCADORA
653;CAMION CAB.SIMP.c/PIRAMIDE
654;CAMION TRACTOR c/ DORM. C/GRUA
655;SEMIRREMOLQUE CON CISTERNA
656;REMOLQUE TOLVA
657;CAMION CAB. DORM. CON TOLVA
658;SEMIRREMOLQUE CISTERNA
659;CAMION CABINA SIMPLE BARREDORA
660;CAMIONETA CABINA SIMPLE CHASIS
661;CAMION CABINA SIMPLE SIDER
662;SEMIREMOLQUE C/TOLVA
663;REMOLQUE C/CAJA GANADERA
