dsc_avenida;dsc_int_anterior;dsc_int_siguiente;latitud;longitud
Soriano;Convencion;Andes;-34.908243;-56.197326
Uruguay;Arenal Grande;Fernandez Crespo;-34.898911;-56.176615
Yaguaron;Colonia;18 de Julio;-34.905242;-56.188052
Agraciada;Hermanos Gil;Bv Artigas;-34.871494;-56.202848
Av Italia;Caldas;Colombes;-34.887157;-56.118535
Av Italia;Zum Felde;Bolivia;-34.883363;-56.085006
Bv Espana;Rambla;Benito Blanco;-34.915119;-56.149044
Gral Flores;Gallinal;Bv Artigas;-34.871100;-56.175180
Libertador;Mercedes;Colonia;-34.904899;-56.193673
San Jose;Rio Negro;Paraguay;-34.907094;-56.193086
Saravia;Belloni;Gral Flores;-34.833040;-56.143735
Solano Lopez;Av Italia;Asamblea;-34.894430;-56.122980
Uruguayana;12 de Diciembre;Bv Artigas;-34.873600;-56.204285
Varela;Bv Batlle y Ordonez;L A de Herrera;-34.869993;-56.165974
Av Italia;Las Heras;L A de Herrera;-34.889274;-56.148441
Av Italia;Solano Lopez;Mataojo;-34.887117;-56.122775
Bv Artigas;Maturana;Uruguayana;-34.873040;-56.205170
Bv Artigas;Ponce;Canelones;-34.906121;-56.163729
Bv Batlle y Ordonez;Joanico;8 de Octubre;-34.878960;-56.148300
Centenario;Cibils;L A de Herrera;-34.883490;-56.152320
Gral Flores;Bv Batlle y Ordonez;Salari;-34.861922;-56.168100
Luis Batlle Berres;Tomkinson;C M Ramirez;-34.858360;-56.227729
Mercedes;Andes;Convencion;-34.904463;-56.197815
Ricaldoni;Ponce;Merola;-34.897084;-56.159030
Sarmiento;Rambla;Requena y Garcia;-34.915536;-56.168299
26 de Marzo;Bonavita;Tezanos;-34.905258;-56.134153
Av Italia;Santa Monica;Cooper;-34.878111;-56.068061
Carreras Nacionales;Juan Acosta;Gral Flores;-34.844055;-56.154553
Comercio;8 de Octubre;Av Italia;-34.886170;-56.130966
Gral Flores;Corrales;Carreras Nacionales;-34.845098;-56.154306
Joanico;Comercio;Bv Batlle y Ordonez;-34.878133;-56.148014
L A de Herrera;Marne;Entrada Nuevocentro;-34.868283;-56.169768
Mendoza;Saravia;Gral Flores;-34.837028;-56.149465
Paullier;E V Haedo;Colonia;-34.897433;-56.169554
Ponce;Av Brasil;Rivera;-34.903500;-56.161940
Rambla;Pereyra;Paiva;-34.904958;-56.128464
San Martin;Dr Magested;Bv Artigas;-34.869951;-56.181996
Solano Lopez;Rivera;Rambla;-34.897400;-56.120289
Soriano;Gutierrez Ruiz;Paraguay;-34.907839;-56.191690
