dsc_avenida,dsc_int_anterior,dsc_int_siguiente,latitud,longitud
Rivera,Acceso Cementerio,Bv Batlle y Ordonez,-34.897900,-56.125370
Bv Artigas,Cufre,Gral Flores,-34.870230,-56.173220
Rivera,Rosell y Rius,14 de Julio,-34.902720,-56.147240
Requena,18 de Julio,Colonia,-34.899083,-56.170060
Av Brasil,26 de Marzo,Benito Blanco,-34.913389,-56.150044
E V Haedo,Paullier,Acevedo Diaz,-34.895946,-56.168014
San Jose,Rio Negro,Paraguay,-34.907094,-56.193086
Garzon,Casavalle,Saravia,-34.814485,-56.220677
L A de Herrera,Gral San Martin,Gral Flores,-34.866440,-56.172620
Gral Flores,Aramburu,Blandengues,-34.883180,-56.182980
Bv Artigas,Martin Fierro,Caribes,-34.882196,-56.166261
Bv Espana,Ellauri,Benito Blanco,-34.914897,-56.150400
L A de Herrera,Placido Ellauri,Rivera,-34.901934,-56.138191
Ricaldoni,Canning,Av Italia,-34.892799,-56.158819
Rambla,Errazquin,Sarmiento,-34.916586,-56.168989
Millan,Eugenio Alsina,Garzon,-34.834099,-56.222302
Saravia,Belloni,Gral Flores,-34.833040,-56.143735
8 de Octubre,Bv Batlle y Ordonez,Sanguinetti,-34.878660,-56.146580
Libertador,Uruguay,Mercedes,-34.903623,-56.193266
21 de Setiembre,Bv Espana,Bv Artigas,-34.912363,-56.164099
Gral Caraballo,Mendoza,Agraciada,-34.885789,-56.192950
Soca,Gestido,Rivera,-34.903760,-56.155750
Paullier,E V Haedo,Colonia,-34.897433,-56.169554
Raissignier,Cno Carrasco,8 de Octubre,-34.871110,-56.134320
Rambla,Piaggio,Pereyra,-34.901555,-56.123936
Ejido,18 de Julio,Colonia,-34.905312,-56.186851
Rambla,L A de Herrera,26 de Marzo,-34.906333,-56.133078
Gral Flores,Bv Batlle y Ordonez,Salari,-34.861922,-56.168100
Yaguaron,Colonia,18 de Julio,-34.905242,-56.188052
Centenario,Jaime Cibils,Av Italia,-34.890634,-56.155365
Lezica,Calderon de la Barca,Eduardo Raiz,-34.804487,-56.224491
26 de Marzo,Bonavita,Tezanos,-34.905258,-56.134153
Evaristo Ciganda,Millan,Agraciada,-34.876570,-56.197230
Av Brasil,Ellauri,26 de Marzo,-34.911150,-56.151809
Comercio,8 de Octubre,Av Italia,-34.886170,-56.130966
Soriano,Convencion,Andes,-34.908243,-56.197326
Bv Artigas,Palmar,Canaro,-34.899594,-56.164421
Rivera,Bv Artigas,Acevedo Diaz,-34.902088,-56.164534
Bv Artigas,Nueva Palmira,Garibaldi,-34.884889,-56.166067
Sarmiento,Requena,Rambla,-34.915369,-56.168358
Soriano,Santiago de Chile,Ejido,-34.907420,-56.185940
26 de Marzo,L A de Herrera,Bonavita,-34.905612,-56.135593
Bv Artigas,Sosa,21 de Setiembre,-34.913860,-56.162715
8 de Octubre,Serrato,Cipriano Miro,-34.874910,-56.140170
Av Italia,Avelino Miranda,Bv Artigas,-34.894478,-56.163857
Rio Negro,Libertador,Colonia,-34.904899,-56.193673
San Jose,Andes,Convencion,-34.907371,-56.197516
Bv Batlle y Ordonez,Pereyra,Rivera,-34.898010,-56.124030
Fernandez Crespo,La Paz,Miguelete,-34.896103,-56.181280
Gral Flores,Corrales,Carreras Nacionales,-34.845098,-56.154306
Colonia,Arenal Grande,Fernandez Crespo,-34.900375,-56.175142
Bv Artigas,Caribes,Colorado,-34.877335,-56.166706
Capurro,Uruguayana,Agraciada,-34.868470,-56.206937
San Jose,Aquiles Lanza,Ejido,-34.906626,-56.187543
Bv Artigas,Canning,Av Italia,-34.895963,-56.164818
Centenario,Cibils,L A de Herrera,-34.883490,-56.152320
Av Italia,Cooper,Bolonia,-34.880827,-56.077112
Acevedo Diaz,E V Haedo,Colonia,-34.896645,-56.167143
Bv Artigas,Colorado,Caribes,-34.880982,-56.166511
Camambu,Ruta 1,C M Ramirez,-34.869977,-56.239758
Garibaldi,Terra,Gral Flores,-34.876960,-56.177630
Gral Flores,Blandengues,Aramburu,-34.882920,-56.182840
Grito de Asencio,Suarez,Agraciada,-34.875242,-56.198863
Miguelete,Justicia,Bv Artigas,-34.891865,-56.166402
Rambla,Pereyra,Paiva,-34.904958,-56.128464
Bv Artigas,Martin Fierro,Garibaldi,-34.884592,-56.166100
Bv Artigas,Caribes,Martin Fierro,-34.881836,-56.166420
Bv Artigas,Goes,Av Italia,-34.893284,-56.165144
Gral Flores,Quesada,L A de Herrera,-34.866070,-56.171180
Sarmiento,Rambla,Requena y Garcia,-34.915536,-56.168299
Rambla,Montero,Solano Antuna,-34.919713,-56.148934
Nueva Palmira,Monte Caseros,Bv Artigas,-34.888009,-56.165199
Av Italia,Mataojo,Solano Lopez,-34.886792,-56.129075
Joanico,Bv Batlle y Ordonez,Larranaga,-34.880150,-56.151490
Uruguay,Vazquez,Ejido,-34.902768,-56.186559
Rambla,Arrascaeta,Hipolito Yrigoyen,-34.895919,-56.109447
Gral Flores,Gallinal,Garibaldi,-34.875670,-56.178980
Bv Artigas,Gallinal,L A de Herrera,-34.870406,-56.167448
Ponce,Rivera,Bv Artigas,-34.904713,-56.162828
Cerro Largo,Magallanes,Ejido,-34.900766,-56.186738
Bv Artigas,Maturana,Uruguayana,-34.873040,-56.205170
Garzon,San Quintin N,Emancipacion,-34.850334,-56.223620
Bv Artigas,Suarez,Agraciada,-34.872063,-56.201165
Larravide,Isla de Gaspar,8 de Octubre,-34.874480,-56.138380
Avelino Miranda,8 de Octubre,Bv Artigas,-34.893083,-56.164427
Av Italia,Avelino Miranda,Albo,-34.892557,-56.159733
Aramburu,Terra,Gral Flores,-34.882790,-56.181890
L A de Herrera,Gualeguay,Gral Flores,-34.867630,-56.170840
Benito Blanco,Buxareo,Julio Cesar,-34.906759,-56.140034
L A de Herrera,Rep Dominicana,Av Italia,-34.888379,-56.147844
San Quintin,Santa Lucia,Garzon,-34.852648,-56.223283
Paraguay,18 de Julio,Colonia,-34.905501,-56.192532
Bv Artigas,Ponce,Canelones,-34.906121,-56.163729
Miguelete,Magallanes,Fernandez Crespo,-34.896064,-56.182073
Daniel Munoz,Martin C Martinez,Acevedo Diaz,-34.896109,-56.167913
Garzon,Saravia,Casavalle,-34.813389,-56.220474
Mercedes,Andes,Convencion,-34.904463,-56.197815
Hocquart,Justicia,Bv Artigas,-34.888996,-56.166795
Gral Flores,Gallinal,Bv Artigas,-34.871100,-56.175180
8 de Octubre,Avelino Miranda,Presidente Berro,-34.892460,-56.162690
Bv Artigas,Ponce,Canelones,-34.906600,-56.163642
Bv Batlle y Ordonez,Joanico,8 de Octubre,-34.878960,-56.148300
Morquio,Ricaldoni,Bv Artigas,-34.897095,-56.163972
